date,ticker,price
2015-01-13,JPM,43.79
2015-01-13,META,75.92
2015-01-13,MSFT,39.52
2015-01-13,NVDA,0.47
2015-01-13,PG,66.42
2015-01-13,XOM,56.15
2015-01-14,AAPL,24.34
2015-01-14,AMZN,14.66
2015-01-14,GOOGL,25.11
2015-01-14,JNJ,76.57
2015-01-14,JPM,42.28
2015-01-14,META,75.75
2015-01-14,MSFT,39.18
2015-01-14,NVDA,0.47
2015-01-14,PG,66.19
2015-01-14,XOM,55.99
2015-01-15,AAPL,23.68
2015-01-15,AMZN,14.35
2015-01-15,GOOGL,25.01
2015-01-15,JNJ,75.46
2015-01-15,JPM,40.93
2015-01-15,META,73.54
2015-01-15,MSFT,38.77
2015-01-15,NVDA,0.47
2015-01-15,PG,66.09
2015-01-15,XOM,55.5
2015-01-16,AAPL,23.5
2015-01-16,AMZN,14.54
2015-01-16,GOOGL,25.33
2015-01-16,JNJ,76.6
2015-01-16,JPM,41.63
2015-01-16,META,74.66
2015-01-16,MSFT,39.42
2015-01-16,NVDA,0.48
2015-01-16,PG,67.11
2015-01-16,XOM,56.85
2015-01-20,AAPL,24.1
2015-01-20,AMZN,14.47
2015-01-20,GOOGL,25.31
2015-01-20,JNJ,74.58
2015-01-20,JPM,41.46
2015-01-20,META,75.71
2015-01-20,MSFT,39.54
2015-01-20,NVDA,0.48
2015-01-20,PG,67.07
2015-01-20,XOM,56.83
2015-01-21,AAPL,24.29
2015-01-21,AMZN,14.86
2015-01-21,GOOGL,25.82
2015-01-21,JNJ,75.03
2015-01-21,JPM,41.6
2015-01-21,META,76.21
2015-01-21,MSFT,39.14
2015-01-21,NVDA,0.49
2015-01-21,PG,67.21
2015-01-21,XOM,57.32
2015-01-22,AAPL,24.92
2015-01-22,AMZN,15.52
2015-01-22,GOOGL,26.66
2015-01-22,JNJ,76.4
2015-01-22,JPM,42.86
2015-01-22,META,77.11
2015-01-22,MSFT,40.17
2015-01-22,NVDA,0.5
2015-01-22,PG,67.87
2015-01-22,XOM,57.94
2015-01-23,AAPL,25.05
2015-01-23,AMZN,15.62
2015-01-23,GOOGL,26.89
2015-01-23,JNJ,75.25
2015-01-23,JPM,42.19
2015-01-23,META,77.29
2015-01-23,MSFT,40.22
2015-01-23,NVDA,0.5
2015-01-23,PG,66.72
2015-01-23,XOM,56.71
2015-01-26,AAPL,25.07
2015-01-26,AMZN,15.48
2015-01-26,GOOGL,26.63
2015-01-26,JNJ,75.29
2015-01-26,JPM,42.25
